,Location,Price,Area,Longitude,Latitude
89,"Indonesia,15317,TangerangSelatan,JalanRayaCiaterPamulang,TangerangSelatan",Rp1.200.000.000,Tangerang,106.6384468,-6.1760311
90,"JalanKencurIVNo.235RT.9RW.8,Kel.Sambiroto,Kec.Tembalang,KotaSemarangTembalang,Semarang",Rp250.000.000,Semarang,110.4229104,-6.9903988
91,"Indonesia,15317,TangerangSelatan,JalanRayaCiaterPamulang,TangerangSelatan",Rp1.200.000.000,Tangerang,106.6384468,-6.1760311
92,"Kongklangan,Prambanan,KlatenPrambanan,Klaten",Rp245.000.000,Klaten,110.6272787097259,-7.6749203999999995
93,"Bintaro,TangerangSelatan",Rp1.203.000,Tangerang,106.6384468,-6.1760311
94,"Indonesia,TangerangSelatan,JalanSukaDamaiBintaro,TangerangSelatan",Rp600.000.000,Tangerang,106.6384468,-6.1760311
95,"JlkalanganyarSedati,Sidoarjo",Rp240.000.000,Sidoarjo,112.66022171549456,-7.4559622
96,"Indonesia,TangerangSelatan,JalanGurameTengahPamulang,TangerangSelatan",Rp625.000.000,Tangerang,106.6384468,-6.1760311
97,"jl.singarajaTembok,Buleleng",Rp19.000.000.000,Buleleng,122.2235198,-3.0635191
98,"jl.joyoagungLowokwaru,Malang",Rp565.000.000,Malang,112.6340291,-7.9771206
99,"BumiSerpongDamai,TangerangSelatan",Rp610.000.000,Tangerang,106.6384468,-6.1760311
100,"BumiSerpongDamai,TangerangSelatan",Rp1.280.000.000,Tangerang,106.6384468,-6.1760311
101,"Dau,Malang",Rp180.000.000,Malang,112.6340291,-7.9771206
102,"BumiIndahCityVictoriaJl.RayaBumiIndahBlokRENo.14-23PasarKemisPasarKemis,Tangerang",Rp846.000.000,Tangerang,106.6384468,-6.1760311
103,"Graha,Surabaya",Rp11.000.000.000,Surabaya,112.7378266,-7.2459717
104,"TanjungkarangBarat,BandarLampung",Rp168.000.000,Bandar Lampung,105.2643742,-5.4460713
105,"BumiSerpongDamai,TangerangSelatan",Rp4.600.000.000,Tangerang,106.6384468,-6.1760311
106,"Jatisampurna,Bekasi",Rp652.000.000,Bekasi,106.9945444,-6.2349858
107,"BumiSerpongDamai,TangerangSelatan",Rp958.888.000,Tangerang,106.6384468,-6.1760311
108,"JalanRayaGesikansedayubantulyogyakartaSedayu,Bantul",Rp1.200.000.000,Bantul,110.38555335898621,-7.89825435
109,"JalanGodeanKm4Gamping,Sleman",Rp451.000.000,Sleman,110.38129042693123,-7.6894175
110,"Pamulang,TangerangSelatan",Rp599.999.999,Tangerang,106.6384468,-6.1760311
111,"MustikaJaya,Bekasi",Rp1.450.000.000,Bekasi,106.9945444,-6.2349858
112,"Serpong,TangerangSelatan",Rp2.030.000.000,Tangerang,106.6384468,-6.1760311
113,"Antapani,Bandung",Rp1.250.000.000,Bandung,107.6049539,-6.9344694
114,"monjaliMlati,Sleman",Rp2.400.000.000,Sleman,110.38129042693123,-7.6894175
115,"Cijantra,Pagedangan,Tangerang",Rp1.900.000.000,Tangerang,106.6384468,-6.1760311
116,"Jl.Pengasinan31,RT.004/RW.028,Pengasinan,Kec.Rawalumbu,KotaBks,JawaBarat17115BojongRawalumbu,Bekasi",Rp500.000.000,Bekasi,106.9945444,-6.2349858
117,"CempakaPutih,JakartaPusat",Rp9.000.000.000,Jakarta Pusat,106.84287153600738,-6.18233995
118,"KawasanindustriJababekaCikarangUtara,Bekasi",Rp51.000.000.000,Bekasi,106.9945444,-6.2349858
119,"BumiSerpongDamai,TangerangSelatan",Rp1.200.000.000,Tangerang,106.6384468,-6.1760311
120,SerpongCisaukTangerang,Rp1.198.000.000,Tangerang,106.6384468,-6.1760311
121,"Indonesia,15859,TangerangKabupaten,JalanBsdRayaUtamaBumiSerpongDamai,TangerangSelatan",Rp950.000.000,Tangerang,106.6384468,-6.1760311
122,"Babelan,Bekasi",Rp1.150.000.000,Bekasi,106.9945444,-6.2349858
123,"Ciputat,TangerangSelatan",Rp1.175.000.000,Tangerang,106.6384468,-6.1760311
124,"Jl.tengsaw-brantakm1,Citeureup,BogorCiteureup,Bogor",Rp10.000.000.000,Bogor,106.7972421,-6.5962986
125,"Bintaro,JakartaSelatan",Rp599.999.900,Jakarta Selatan,106.80486324917382,-6.28381815
126,"JlnSingaMedanPandauHuluI,Medan",Rp2.500.000.000,Medan,98.6738261,3.5896654
127,"JlnBoulevardBaratRayaMedanEstatePercutSeiTuan,DeliSerdang",Rp2.888.000.000,Serdang,106.86103562307852,-6.1589157
128,"Jl.kavlinggeologicisarantenkotabandungArcamanik,Bandung",Rp585.000.000,Bandung,107.6049539,-6.9344694
129,"SiringAgung,Palembang",Rp650.000.000,Palembang,104.756857,-2.9888297
130,"Indonesia,TangerangSelatan,JalanMahagoniUtamaBintaro,TangerangSelatan",Rp2.580.000.000,Tangerang,106.6384468,-6.1760311
131,"Indonesia,TangerangSelatan,JalanBsdGrandBoulevardBumiSerpongDamai,TangerangSelatan",Rp4.350.000.000,Tangerang,106.6384468,-6.1760311
132,"PermataHijau,JakartaSelatan",Rp28.700.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
133,"JlJadeParkSerpong,Buaran,Kec.Serpong,KotaTangerangSelatan,Banten1531Serpong,TangerangSelatan",Rp531.300.000,Tangerang,106.6384468,-6.1760311
134,"Indonesia,15446,TangerangSelatan,JalanCirendeuRayaCirendeu,TangerangSelatan",Rp1.250.000.000,Tangerang,106.6384468,-6.1760311
135,"Jl.REMartadinataCiputat,TangerangSelatan",Rp3.250.000.000,Tangerang,106.6384468,-6.1760311
136,"Indonesia,15153,TangerangKota,Ciledug,JalanPeninggilanUtaraGangHKadirCiledug,Tangerang",Rp255.000.000,Tangerang,106.6384468,-6.1760311
137,"Jl.PelitaIVTanjungMorawa,DeliSerdang",Rp12.720.000.000,Serdang,106.86103562307852,-6.1589157
138,"BumiSerpongDamai,TangerangSelatan",Rp27.668.475.000,Tangerang,106.6384468,-6.1760311
139,"jl.arterigaluhmasKarawangBarat,Karawang",Rp791.000.000,Karawang,107.307897,-6.3042012
140,"Bintaro,TangerangSelatan",Rp4.500.000.000,Tangerang,106.6384468,-6.1760311
141,"jl.tanjunggedongrayaGrogolUtara,JakartaSelatan",Rp16.000.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
142,WestBandung,Rp454.500.000,Bandung,107.6049539,-6.9344694
143,"JalanKampusBabakansariKiaracondongKotaBandungKiaracondong,Bandung",Rp1.200.000.000,Bandung,107.6049539,-6.9344694
144,"Jl.SultanIskandarMudaNo.12,JakartaSelatanJakartaSelatan",Rp7.000.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
145,NarayaResidencePesantrenMijenSemarangSemarang,Rp3.000.000.000,Semarang,110.4229104,-6.9903988
146,"Jln.Pekapuran,Cimanggis,Depok.Cimanggis,Depok",Rp670.000.000,Depok,106.8138131,-6.4074657
147,"TeladanBarat,Medan",Rp995.000.000,Medan,98.6738261,3.5896654
148,"LogandengPlayen,GunungKidul",Rp200.000.000,Gunung Kidul,112.1982,-8.1674
149,"Dago,Bandung",Rp7.000.000.000,Bandung,107.6049539,-6.9344694
150,"LogandengPlayen,GunungKidul",Rp200.000.000,Gunung Kidul,112.1982,-8.1674
151,"jalanrayasecangMagelang,Magelang",Rp437.400.000,Magelang,110.21433030848786,-7.5136132
152,Bekasi,Rp1.400.000.000,Bekasi,106.9945444,-6.2349858
153,"jlTubaguaIsmailGgLegokHirisNo.157CRT02/10SekeloaCoblongBandungSekeloa,Bandung",Rp1.500.000.000,Bandung,107.6049539,-6.9344694
154,"Jatireja,CikarangTimur,CikarangTimur,Bekasi",Rp1.438.000.000,Bekasi,106.9945444,-6.2349858
155,"CijambeUjungBerung,Bandung",Rp395.000.000,Bandung,107.6049539,-6.9344694
156,"JalanSuteraFeroniaParkIAlamSutera,TangerangSelatan",Rp3.205.100.000,Tangerang,106.6384468,-6.1760311
157,"JalanJogjaWates,Wates,KulonProgo,DIYogyakartaWates,KulonProgo",Rp126.000.000,Kulon Progo,110.14798278891979,-7.8123076000000005
158,"Jl.NusaIndah,Condongcatur,Depok,Sleman,YogyakartaCondongCatur,Sleman",Rp841.800.000,Sleman,110.38129042693123,-7.6894175
159,"Soreang,Bandung",Rp352.000.000,Bandung,107.6049539,-6.9344694
160,"CondongCatur,Sleman",Rp2.200.000.000,Sleman,110.38129042693123,-7.6894175
161,"AlamSutera,TangerangSelatan",Rp7.500.000.000,Tangerang,106.6384468,-6.1760311
162,"PusakaRakyat,Kec.Tarumajaya,Bekasi,JawaBarat17214HarapanIndah,Bekasi",Rp1.611.000.000,Bekasi,106.9945444,-6.2349858
163,"Jl.Mh.ThamrinJakartaPusatThamrin,JakartaPusat",Rp9.000.000.000,Jakarta Pusat,106.84287153600738,-6.18233995
164,"CitralandSomersetCitraland,Surabaya",Rp3.500.000.000,Surabaya,112.7378266,-7.2459717
165,"Mlati,Sleman",Rp1.750.000.000,Sleman,110.38129042693123,-7.6894175
166,"CinereMegaBlokMBelakangInformaCinere,Depok",Rp4.800.000.000,Depok,106.8138131,-6.4074657
167,JakartaSelatan,Rp59.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
168,"PuriKartikaCipocokCipocokJaya,Serang",Rp5.000.000.000,Serang,105.98773335759398,-6.10565025
169,"Jl.BulevarAhmadYani,RT.005/RW.003,MargaMulya,Kec.BekasiUtara,KotaBks,JawaBarat17142SummareconBekasi,Bekasi",Rp250.000.000,Bekasi,106.9945444,-6.2349858
170,"jlkolmasturicisaruaparongponglembangbandungLembang,WestBandung",Rp655.000.000,Bandung,107.6049539,-6.9344694
171,"Latumenten-JembatanBesi-JakartaBaratTambora,JakartaBarat",Rp675.000.000,Jakarta Barat,106.74389124027667,-6.16156235
172,"jlpurnawirawan1Kedaton,BandarLampung",Rp268.000.000,Bandar Lampung,105.2643742,-5.4460713
173,"Jl.SukamenakMargahayu,Bandung",Rp15.000.000.000,Bandung,107.6049539,-6.9344694
174,"Jl.MandorDami4Cilodong,Depok",Rp630.000.000,Depok,106.8138131,-6.4074657
175,"GadingSerpongJalanBoulevardRayaGadingSerpongMedang,Pagedangan,Tangerang,Medang,Kec.Pagedangan,Tangerang,Banten15810Medang,Tangerang",Rp2.200.000.000,Tangerang,106.6384468,-6.1760311
176,Bandung,Rp6.750.000.000,Bandung,107.6049539,-6.9344694
177,"Jl.PutatnutugPamulang,TangerangSelatan",Rp353.000.000,Tangerang,106.6384468,-6.1760311
178,"JlKartiniDepok,Depok",Rp16.000.000.000,Depok,106.8138131,-6.4074657
179,Bekasi,Rp710.000.000,Bekasi,106.9945444,-6.2349858
180,"perumahangrandsharonjalaninspeksicidurianbelakangalislamSoekarnoHatta,Bandung",Rp1.400.000.000,Bandung,107.6049539,-6.9344694
181,"jlpurnawirawan1Kedaton,BandarLampung",Rp268.000.000,Bandar Lampung,105.2643742,-5.4460713
182,"Jl.SukamenakMargahayu,Bandung",Rp15.000.000.000,Bandung,107.6049539,-6.9344694
183,"Gamping,Sleman",Rp892.000.000,Sleman,110.38129042693123,-7.6894175
184,"DurensawitJakartatimurDurenSawit,JakartaTimur",Rp1.600.000.000,Jakarta Timur,106.88222894692834,-6.26289085
185,"Jl.Parangtritis,Prawirotaman,JogjaKotaMergangsan,Yogyakarta",Rp1.023.000.000,Yogyakarta,110.36722565020224,-7.9778383999999996
186,"HarjamuktiCibubur,Bekasi",Rp10.788.750.000,Bekasi,106.9945444,-6.2349858
187,"kebayoranheightBintaro,TangerangSelatan",Rp5.500.000.000,Tangerang,106.6384468,-6.1760311
188,"Sedati,Sidoarjo",Rp179.000.000,Sidoarjo,112.66022171549456,-7.4559622
189,"jl.mataairpesawaranGedongTataan,Pesawaran",Rp275.000.000,Pesawaran,105.08469101016075,-5.4559573
190,"Dramaga,Bogor",Rp1.300.000.000,Bogor,106.7972421,-6.5962986
191,"nahBaruBejiDepokTanahBaru,Depok",Rp1.800.000.000,Depok,106.8138131,-6.4074657
192,"Pandansimping,Prambanan,KlatenPrambanan,Klaten",Rp395.000.000,Klaten,110.6272787097259,-7.6749203999999995
193,"Rungkut,Surabaya",Rp100.000.000.000,Surabaya,112.7378266,-7.2459717
194,"JalanDeandles,Ngombol-PurworejoTemon,KulonProgo",Rp145.000.000,Kulon Progo,110.14798278891979,-7.8123076000000005
195,sudirmanBandung,Rp1.750.000.000,Bandung,107.6049539,-6.9344694
196,"Setu,Bekasi",Rp338.000.000,Bekasi,106.9945444,-6.2349858
197,Bekasi,Rp740.000.000,Bekasi,106.9945444,-6.2349858
198,"Jonggol,Bogor",Rp60.000.000,Bogor,106.7972421,-6.5962986
199,"ClusterLavenderAlamSuteraAlamSutera,TangerangSelatan",Rp7.500.000.000,Tangerang,106.6384468,-6.1760311
200,"RUKOARISTOTELESSUMMARECONGADINGSERPONGGGadingSerpong,Tangerang",Rp3.000.000.000,Tangerang,106.6384468,-6.1760311
201,"Jl.BSDGrandBoulevard,Pagedangan,Tangerang",Rp878.786.700,Tangerang,106.6384468,-6.1760311
202,"Tenjo,Bogor",Rp215.000.000,Bogor,106.7972421,-6.5962986
203,"Ngaglik,Sleman",Rp485.100.000,Sleman,110.38129042693123,-7.6894175
204,"DerwatimasDerwati,Bandung",Rp646.000.000,Bandung,107.6049539,-6.9344694
205,"jl.manggabesar4ManggaBesar,JakartaBarat",Rp4.900.000.000,Jakarta Barat,106.74389124027667,-6.16156235
206,"JLTUTUGAN,CIHANJUANGRAHAYUParongpong,WestBandung",Rp390.000.000,Bandung,107.6049539,-6.9344694
207,"DutbumikotaharapanindahHarapanIndah,Bekasi",Rp1.200.000.000,Bekasi,106.9945444,-6.2349858
208,"PINGGIRJALANGRAHARAYABintaro,TangerangSelatan",Rp685.000.000,Tangerang,106.6384468,-6.1760311
209,"JalanpausLembahDamai,Pekanbaru",Rp1.700.000.000,Pekanbaru,101.4515727,0.5262455
210,"Beji,Depok",Rp1.168.000.000,Depok,106.8138131,-6.4074657
211,"Cijantra,Pagedangan,Tangerang",Rp2.200.000.000,Tangerang,106.6384468,-6.1760311
212,"UbudsingakertaUbud,Gianyar",Rp6.500.000.000,Gianyar,115.32605401537212,-8.5482357
213,"JlRayaLentengAgungLentengAgung,JakartaSelatan",Rp15.500.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
214,"rajabasadekatpolinelaKedaton,BandarLampung",Rp187.500.000,Bandar Lampung,105.2643742,-5.4460713
215,"GunungAnyarTambakSurabayaGunungAnyarTambak,Surabaya",Rp260.000.000,Surabaya,112.7378266,-7.2459717
216,"Kembangan,JakartaBarat",Rp585.000.000,Jakarta Barat,106.74389124027667,-6.16156235
217,"CondetjakartatimurCondet,JakartaTimur",Rp13.000.000.000,Jakarta Timur,106.88222894692834,-6.26289085
218,"GadingserpongGadingSerpong,Tangerang",Rp2.000.000.000,Tangerang,106.6384468,-6.1760311
219,jalansetiabudiBandungWestBandung,Rp2.800.000.000,Bandung,107.6049539,-6.9344694
220,"tanahkusirTanahKusir,JakartaSelatan",Rp4.950.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
221,"Jl.tanjungdurenselatanGrogolPetamburan,JakartaBarat",Rp3.790.000.000,Jakarta Barat,106.74389124027667,-6.16156235
222,"RaflesregencyJatiasih,Bekasi",Rp575.000.000,Bekasi,106.9945444,-6.2349858
223,"DesaDomasMengantiGresikKenjeran,Surabaya",Rp55.000.000,Surabaya,112.7378266,-7.2459717
224,"Jl.TELUKLANGSAGunungPutri,Bogor",Rp485.000.000,Bogor,106.7972421,-6.5962986
225,"Wonokoyo,Malang",Rp295.000.000,Malang,112.6340291,-7.9771206
226,"TuranggaLengkong,Bandung",Rp3.200.000.000,Bandung,107.6049539,-6.9344694
227,"Sariwangi,Kec.Parongpong,KabupatenBandungBarat,JawaBarat40559Parongpong,Bandung",Rp593.560.000,Bandung,107.6049539,-6.9344694
228,"JlBintaroPermairayaBintaro,JakartaSelatan",Rp300.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
229,"SummareconBekasi,Bekasi",Rp700.000.000,Bekasi,106.9945444,-6.2349858
